submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
01/25/2021,NE,187923,,,646,0,1894,,,15,0,01/27/2021 12:00:00 AM,Not agree,Not agree
06/12/2021,AL,549716,423193,126523,97,31,11355,9053,2302,5,2,06/14/2021 12:00:00 AM,Agree,Agree
06/15/2020,WI,25480,22932,2548,185,11,700,694,6,2,0,06/16/2020 02:10:11 PM,Agree,Agree
07/31/2020,ND,6602,6602,0,133,0,103,,,0,0,08/01/2020 02:38:12 PM,Agree,Not agree
08/11/2020,GU,449,,,15,0,5,,,0,0,08/12/2020 01:50:14 PM,Not agree,Not agree
02/02/2020,GU,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Not agree,Not agree
12/27/2020,CA,2319593,2249322,70271,13613,664,29708,,,570,0,12/28/2020 12:00:00 AM,Agree,Not agree
05/15/2020,CT,36085,34059,2026,621,-11,3285,2524,761,66,8,05/16/2020 03:46:44 PM,Agree,Agree
07/02/2020,NC,76154,76023,131,2070,12,1479,1479,0,11,0,07/02/2020 12:00:00 AM,Agree,Agree
03/07/2021,NE,203157,,,374,0,2113,,,0,0,03/09/2021 12:00:00 AM,Not agree,Not agree
06/09/2021,ND,110351,101268,9083,53,16,1517,,,0,0,06/10/2021 02:48:23 PM,Agree,Not agree
05/11/2020,CT,33765,31955,1810,211,-30,3008,2294,714,41,-10,05/12/2020 05:26:08 PM,Agree,Agree
09/13/2020,MO,108944,,,663,18,2132,,,19,0,09/15/2020 12:00:00 AM,Not agree,Not agree
03/31/2021,ND,103299,96726,6573,208,49,1466,,,0,0,04/01/2021 02:13:30 PM,Agree,Not agree
03/09/2020,WI,1,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
03/09/2021,MS,299992,185580,114412,457,301,7080,4916,2164,8,5,03/11/2021 12:00:00 AM,Agree,Agree
03/16/2020,ME,19,,,5,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
08/17/2020,ID,27942,26091,1851,282,32,273,245,28,4,0,08/18/2020 02:26:55 PM,Agree,Agree
02/14/2021,GU,7699,,,10,0,130,,,0,0,02/15/2021 02:46:24 PM,Not agree,Not agree
03/13/2020,VT,2,,,0,0,0,,,0,0,03/15/2020 12:00:00 AM,Not agree,Not agree
07/09/2021,MO,631603,,,1639,472,9387,,,4,0,07/10/2021 02:17:36 PM,Not agree,Not agree
08/23/2020,IL,221595,220178,1417,1893,0,8089,7880,209,6,0,08/24/2020 01:54:34 PM,Agree,Agree
11/19/2020,MI,423621,388797,34824,6304,384,9011,8600,411,93,3,11/20/2020 12:00:00 AM,Agree,Agree
08/08/2020,NV,55644,,,887,1,977,,,30,1,08/09/2020 02:03:10 PM,,
03/21/2021,VI,2858,,,6,0,25,,,0,0,03/22/2021 01:57:09 PM,,
05/09/2021,MI,974134,873038,101096,1301,175,19723,18541,1182,58,1,05/10/2021 12:00:00 AM,Agree,Agree
03/08/2021,CA,3673952,3534725,139227,2378,197,59999,,,101,0,03/09/2021 12:00:00 AM,Agree,Not agree
09/22/2020,CA,810080,804380,5700,2204,44,16351,,,71,0,09/23/2020 12:00:00 AM,Agree,Not agree
07/06/2021,WI,678048,613152,64896,40,5,8144,7323,821,0,0,07/07/2021 02:48:49 PM,Agree,Agree
